Name,Date,Rate,Subject,Text,People_liked,Type_purchase,Image_review
Eva,"Apr 20, 2023",5.0/5,Worth the money,"I was really thinking long and hard before buying this, it’s quite a bit of money for a contour stick! But then my MUA showed me how to use Truffle on my fair skin as bronzer and I was sold. The color looked intimidating first but I cannot emphasise enough how well this blends. It looks like your skin and gives a beautiful sun kissed colour. I might use it more as a contour stick when I get tan this summer but however I use it, I don’t want to be without it. Well worth the money as with all these products.",-,Not verified,-
Domenica G.,"Apr 18, 2023",5.0/5,Biscuit is a beautiful color.,Biscuit is a beautiful color. This was my first time trying a contour and it was easy to use and blend. Looks beautiful with Baby Cheeks in Mimi.,-,Not verified,-
maarja u.,"Apr 18, 2023",5.0/5,Icredible product. I have never,Icredible product. I have never used face contour before and this product made it so easy. Smooth texture and very natural finish.,-,Not verified,-
Jill K.,"Apr 17, 2023",5.0/5,Face Trace is a great,Face Trace is a great product. I also use it as a quick an easy eye shadow.,-,Not verified,-
Nicole F.,"Apr 15, 2023",5.0/5,I love the way it,"I love the way it feels on my skin!!. The packaging is very simple and chic. It’s a fantastic product….love all of Gucci’s products. The only thing is that there is not much product in the packaging, so it doesn’t last very long.",-,Not verified,-
luvshopgurl,"Apr 12, 2023",5.0/5,blendable,"This is such a nice product albeit a bit pricey. This is multi use. I use this as a contour, and a little blusher. I use either my fingers or blending blush. I also bought the biscuit.",-,Verified purchase,-
Holly C.,"Apr 10, 2023",5.0/5,Lightweight hydrating serum.,I have been using this serum for about a month. It’s very hydrating and light. It leaves your skin dewy and plump.,-,Not verified,-
Koby W.,"Apr 10, 2023",4.0/5,Good product; customer service questionable,The product itself works well. However the little carton it came in was crushed and the tube was twisted and smashed up into the lid so I lost some product. The box it shipped in was pristine so they intentionally gave me a damaged product. Very disappointed in that since I like the product but don’t appreciate paying for something that had clearly already been opened or damaged.,-,Not verified,-
Joan P.,"Apr 7, 2023",5.0/5,The Best Contour- Period.,Best stick contour. Non greasy and blends to perfection.,-,Not verified,-
Patricia M.,"Apr 6, 2023",4.0/5,Nice color and consistency,Packaging is lovely. Creamy feel to it. Still trying out how to use it effectively. I need to watch Gucci's video again as I am not sure I am contouring correctly. The color is Biscuit and it is a perfect color for me.,-,Not verified,-
Kim K,"Apr 2, 2023",5.0/5,Dream contour product!,"Absolutely beautiful formula that makes contouring a snap. Colors are spot on and it blends like a dream. A bit overpriced for what it is but the packaging is what you would expect from luxury make up. I will buy it again, love it!",-,Verified purchase,-
Kayla R.,"Mar 28, 2023",5.0/5,So happy I randomly found Westman Atelier on a google search!!!,"What a wonderful, beautiful, clean and convenient bronzer/contour!! I love how i don't have to use a brush if i don't want and can just blob in with my fingers, so quick, which means i'll actually want to do my makeup lol Westman truly only offers the most beautiful and elegant colors I'm so so so in love with every product and will be a customer for life now. Gucci truly has created a remarkable product line with all her years of experience. So far i've purchased biscuit face trace, mimi baby cheeks, vital skin foundation and clay bonne brow and the new face serum and absolutely LOVE them all!",-,Not verified,-
Maria B.,"Mar 21, 2023",5.0/5,I bought this at the,I bought this at the recommendation of Andréea Ali in biscuit and I love it! The cool tone looks so natural and I plan on purchasing more products. Thank you for offering the mini option!!,-,Not verified,-
Doreen C.,"Mar 20, 2023",2.0/5,I got the travel size,"I got the travel size contour stick and was excited to try it. The cap comes off very easily so the entire contour stick fell out, and now it’s smushed and stuck in the cap every time I open it",-,Not verified,-
Michelle C.,"Mar 19, 2023",5.0/5,Love the shade Biscuit...not too,Love the shade Biscuit...not too brown or orange. Will definitely order the full size.,-,Not verified,-
Wendy M.,"Mar 19, 2023",5.0/5,Big fan!,I love the creaminess of this stick and the color is perfect!,-,Not verified,-
Nichole G,"Mar 18, 2023",5.0/5,Perfect for those new to contouring,"I have seen the videos and never thought I would deviate from my simple makeup routine, but I’m glad I did. This product made it seamless to blend in a bit of contour color that looked natural and highlighted my face structure. The color is also great for those with very fair skin!",-,Not verified,-
Whitney K.,"Mar 17, 2023",5.0/5,Where do I start!!! I,"Where do I start!!! I am blown away by this contour stick, it really does shape you face but In a very natural way. Super impressed! This has become a new staple for me!",-,Not verified,-
Semolina,"Mar 16, 2023",5.0/5,"Nose, snatched! Cheeks, snatched!",Westman Atelier is on a winning spree with their products! So far I’ve only had quantity problems with their lip tint which is still not going to stop me from getting one again but the insane fact is their contour stick in the shade Biscuit has made me turn away from a Chanel product that I do religiously used to use prior to buying this! It blends well even on top of foundation and DOESN’T FADE which is a big problem with creamy or waxy formulas! The quality of this feels subpar even when compared to Chanel!,-,Verified purchase,-
Kara B.,"Mar 15, 2023",5.0/5,I will buy in bulk to make sure I never run out!,"MUST HAVE! Goes on some creamy, blends so beautifully and effortlessly without completely just disappearing. I used in the same places I would normally add my contour, but with no foundation (just my normal skincare routine and spf with no tint) and my husband stopped in his tracks and said ""whoa, whatever you did to your face today looks stunning""! I bought some brushes as well which I think really helped the blending process. I am LOVE!",-,Not verified,-
lindseyh110,"Mar 9, 2023",5.0/5,Perfect shade and very blendable,"I haven’t really been a big fan of powder contour so I decided to give the stick a try. After trying a sample, I went and picked up the full size the very next day. This contour stick is awesome! I use it for my contour and also as my crease eyeshadow for a subtle every day look. It is buildable and blends out perfectly all while leaving a great skin feel. Bonus points - it doesn’t rub off on my clothes, is super portable, and saves a ton of time.",-,Not verified,-
Molly B.,"Mar 9, 2023",5.0/5,Face trace perfection!,"This is my first time trying Westman Atelier’s contour stick. I got it in the mini size since I had not tried before. I am not a stranger to WA though as I like many of their products. I ADORE this little stick and will have to buy the full size when I run out. I bought in shade Biscuit and it’s perfect for contouring my pale, cooler-toned, fair skin. I could not come up with anything better. Seriously. This will stand the test of time and I’m only sorry I didn’t purchase sooner!!",-,Not verified,-
seracc,"Mar 9, 2023",5.0/5,Biscuit,I was previously using the Charlotte Tilbury contour wand but I absolutely hated how messy that product was. I decided to try this one on a whim and man am I never switching. It blends beautifully with a brush and a sponge. It’s not too grey or too warm. It’s the perfect bronzing contour in one. Love the magnetic lid and how heavy and luxe the packaging is. In the photo also pictured is the blush in Petal. Highly recommend the splurge!,-,Not verified,https://photos-us.bazaarvoice.com/photo/2/cGhvdG86d2VzdG1hbmF0ZWxpZXI/fe039813-28e2-58e6-8c72-077f45208d70
Karen S.,"Mar 7, 2023",5.0/5,First time user of Face Trace,"Face Trace is creamy, easily bendable and believable looking. I like the concept of using it under makeup , it's a softer look. Recommend!",-,Not verified,-
Jessica S.,"Mar 2, 2023",5.0/5,I never thought I wanted,I never thought I wanted or needed contour but this I love. Goes on light and creamy and melts in nicely. Gives a little warmth and definition without looking like you are wearing anything . I have also used it on my eyes in place of eyeshadow. Again subtle definition and feels so nice!,-,Not verified,-
Maryam Z.,"Mar 2, 2023",3.0/5,Does not last,The formula doesn’t stay on my skin. It fades very quickly and gets absorbed,-,Not verified,-
Marie c.,"Feb 28, 2023",5.0/5,I love these products I,I love these products I no longer use any other products. Once you try it you will trash your other products,-,Not verified,-
Nichole Q.,"Feb 27, 2023",5.0/5,Love this product! Good execution,Love this product! Good execution on the packaging and weight of the stick. Easy to blend.,-,Not verified,-
Suzanna M.,"Feb 27, 2023",4.0/5,Love the color But it,Love the color But it smells kinda like metal And some of my clients expressed not enjoying the smell.,-,Not verified,-
Lynn M.,"Feb 26, 2023",5.0/5,The only contour I ll ever use,"I adore Westman Atelier products and the face trace is no exception. I am very fair skin and in the past I’ve tried to contour and other brands just made me look like my face was dirty. Face trace is super easy to use, blends so beautifully and the color is very natural. I love the creamy formula which works really well with my dry mature skin.",-,Not verified,-
Lynne F.,"Feb 24, 2023",5.0/5,Face Trace,"Doesn’t have magnet lid, so I keep dropping it and smudging the product! But I love the texture!",-,Not verified,-
Victoria L.,"Feb 21, 2023",2.0/5,this was too chalky and,this was too chalky and thick and the color was all wrong. Returned it today via my fed ex account,-,Not verified,-
eye pods,"Feb 17, 2023",1.0/5,broke out my face,Greasy and heavy,-,Verified purchase,-
Julie G.,"Feb 13, 2023",4.0/5,I like this product and,I like this product and it allows me to achieve a look similar to highlighter,-,Not verified,-
Wendy,"Feb 13, 2023",1.0/5,No staying power,Beautiful colour but disappears,-,Verified purchase,-
Eugenia V.,"Feb 12, 2023",5.0/5,"I like the color, and","I like the color, and especially how smoothly it goes on.",-,Not verified,-
Megan W.,"Jan 26, 2023",5.0/5,Purchased the mini size of,Purchased the mini size of the Face Trace in Biscuit and quickly fell in love. It's become my go-to quick makeup look stick when i'm running out the door but need some color and definition added to my face! Pair this with the cream blush and it looks soooo natural. I'm obsessed! Will definitely be purchasing a full sized next.,-,Not verified,-
Cara,"Jan 25, 2023",5.0/5,Lovely,Natural Finnish with gorgeous packaging,-,Verified purchase,-
Dawn,"Jan 24, 2023",5.0/5,Perfect for contour.,Beautiful color and texture.,-,Verified purchase,-
Edie M.,"Jan 24, 2023",5.0/5,Blends like a dream,All of your products are top notch! I have the cream blushes and this and they all blend effortlessly. Worth the money !!,-,Not verified,-
soraya n.,"Jan 22, 2023",2.0/5,Cheap packaging flimsy and color,Cheap packaging flimsy and color sticks to top. It doesn’t ride smoothly on face. Not happy.,-,Not verified,-
Kara A.,"Jan 21, 2023",5.0/5,Just lovely! Completely natural and,"Just lovely! Completely natural and wearable, blends easily, doesn’t ‘drag’, simply amazing makeup.",-,Not verified,-
Mary K.,"Feb 8, 2023",5.0/5,My new contour stick,"I have loved every product from Westman Altelier. They are easy to apply, blend beautifully and the best part is the glow they give my skin. I am new to contouring- the biscuit color is perfect- still figuring it out so I will let you know how it goes",-,Not verified,-
Lauren A.,"Feb 3, 2023",5.0/5,Great contour stick,I like the contour stick - it’s easy to apply and goes well with my Asian complexion. I likely will get one shade darker for the summer.,-,Not verified,-
Adele T.,"Jan 31, 2023",5.0/5,Love the new truffle color.,Love the new truffle color. Looks beautiful and natural glow,-,Not verified,-
Elizabeth M.,"Jan 30, 2023",5.0/5,Perfect Contour Stick,"I’m loving the face trace in biscuit. It glides on so easily and is just enough color to provide the contour I was looking for,",-,Not verified,https://photos-us.bazaarvoice.com/photo/2/cGhvdG86d2VzdG1hbmF0ZWxpZXI/38f73e69-da17-5385-af08-50549a101f8d
Elise M.,"Jan 29, 2023",5.0/5,I’m sold!,I love it. Never thought I’d wear contour but Gucci makes applying her makeup line so easy. And if you’re unsure just watch her cute videos. LOVE this entire line.,-,Not verified,-
Marlene T.,"Jan 28, 2023",5.0/5,Really love this product. Blends,Really love this product. Blends out really nicely. I appreciate the smaller size to be able to test out rather than paying more for the large size. I will repurchase!,-,Not verified,-
Megan W.,"Jan 26, 2023",5.0/5,Purchased the mini size of,Purchased the mini size of the Face Trace in Biscuit and quickly fell in love. It's become my go-to quick makeup look stick when i'm running out the door but need some color and definition added to my face! Pair this with the cream blush and it looks soooo natural. I'm obsessed! Will definitely be purchasing a full sized next.,-,Not verified,-
Cara,"Jan 25, 2023",5.0/5,Lovely,Natural Finnish with gorgeous packaging,-,Verified purchase,-
Dawn,"Jan 24, 2023",5.0/5,Perfect for contour.,Beautiful color and texture.,-,Verified purchase,-
Edie M.,"Jan 24, 2023",5.0/5,Blends like a dream,All of your products are top notch! I have the cream blushes and this and they all blend effortlessly. Worth the money !!,-,Not verified,-
soraya n.,"Jan 22, 2023",2.0/5,Cheap packaging flimsy and color,Cheap packaging flimsy and color sticks to top. It doesn’t ride smoothly on face. Not happy.,-,Not verified,-
Kara A.,"Jan 21, 2023",5.0/5,Just lovely! Completely natural and,"Just lovely! Completely natural and wearable, blends easily, doesn’t ‘drag’, simply amazing makeup.",-,Not verified,-
Hristina C.,"Jan 21, 2023",5.0/5,Great product,"I love WA products. I enjoy formulas, ingredients and design. Work for me perfect. I love how after years in MU industry she insists on simplicity and clean healthy look.",-,Not verified,-
Jerry A.,"Jan 18, 2023",5.0/5,I like everything about Face Trace.,I like everything about this product. I would like to try it in a lighter shade. Please make more of the mini sizes available so your customers can try various shades for different areas of the face.,-,Not verified,-
Connie M.,"Jan 18, 2023",5.0/5,The Biscuit Contour is the,The Biscuit Contour is the perfect shade. I love all your products.,-,Not verified,-
Lorri G.,"Jan 15, 2023",5.0/5,Love this product! It gives,Love this product! It gives me a healthy glow and nice coverage. I have already recommended this to my family and friends!,-,Not verified,-
Tamara Zwinak,"Jan 13, 2023",5.0/5,Must Have Westman Atelier Face Trace Contour Stick,This is an absolute must for every makeup case! A fantastic product! It really adds a contour to the cheek area.,-,Verified purchase,-
RaChow,"Jan 11, 2023",5.0/5,the perfect contour stick,"I’ve been on the hunt for the perfect contour stick, and I think this might just be it! Some are too greasy and some are too dry…this one is just the right balance! It glides on easily, but also blends into the skin without looking like a bronzer. Really happy with this purchase!",-,Verified purchase,-
Donna H.,"Jan 3, 2023",5.0/5,The BEST for contouring!,"I love Face Trace!!! (Biscuit) It’s such great a great color. It glides on and blends so well. I love the cool color. So many others I’ve tried are too orangey/brown. It’s also great to use as eye shadow, too.",-,Not verified,-
krisgu,"Jan 1, 2023",5.0/5,perfect color and shading tool,i’ve been looking for the perfect shading tool and this is it.,-,Not verified,-
floridapalm,"Dec 31, 2022",5.0/5,pricey but so worth it,"Fell in love with this product. So easy to use and so natural looking. I'm 58 with partially oily skin and find it difficult to find the right product without it looking too dark, too ashy or too shiny . This one is it! It's pricey but worth it.",-,Verified purchase,-
Natalie H.,"Dec 28, 2022",4.0/5,Great contour for pale skin,"Best contour color I have found so far for pale skin and I will be purchasing this again, wish it was a little more pigmented.",-,Not verified,-
Mark E.,"Dec 19, 2022",5.0/5,I tried this because Mikayla Nogueira said it was the BEST!!!,It is the best contour stick I have ever tried. Blends so easily. I love it so much that I bought a second shade. Also. IT IS NOT ORANGE on my face. Finally. My husband told me my contour skills have improved. The secret is this product. If you are on the fence about buying this product. I highly recommend it.,-,Not verified,-
Sarah B.,"Dec 13, 2022",5.0/5,"Perfect Color, So Creamy","This color is perfection on my fair, cool-toned face. I love how it’s neither too grey or too yellow, just the perfect shade to contour and even bronze-tour with. It held a like a dream and is undetectable under or over makeup not never lifts foundation of you apply it on top. Love this product!",-,Not verified,-
April V.,"Dec 7, 2022",4.0/5,Excellent product. Quantity vs price a little disappointing,I love the product and the tone of the biscuit color is perfect. My favorite contour product by far. Only down side is the amount of product is a bit disappointing. Wish there were more in the tube given the cost. Other than that I love it.,-,Not verified,-
Sarah F.,"Dec 7, 2022",5.0/5,Best,best way to add some bronzer without using a bronzer,-,Not verified,-
Judith I.,"Dec 5, 2022",5.0/5,Best products ever,"I have very sensitive skin, nothing here bothers it, plus supper natural and super easy to apply",-,Not verified,-
Laura G.,"Nov 28, 2022",5.0/5,Love it,The packaging is beautiful and very luxury. The product is even more amazing. It blends out so easy and looks so good on my skin. The color is perfect for me and it last all day. Some days when I don't even feel like doing a lot I just rub a little on cause it's just that easy.,-,Not verified,https://photos-us.bazaarvoice.com/photo/2/cGhvdG86d2VzdG1hbmF0ZWxpZXI/30cef607-4f5c-54d1-82ba-0aaed41f1bab
Joujou D.,"Nov 27, 2022",5.0/5,Face Trace - Truffle,"Love the face trace- creamy & natural look on skin. Blends & builds easily, glides on and feels like skin. Not sure how long it will last, but will definitely purchase again! Thank you, Joujou",-,Not verified,-
Melissa W.,"Nov 12, 2022",5.0/5,This is my new favorite,This is my new favorite makeup! It blends like a dream and gives me beautiful looking skin! I love that it is buildable but can also be very natural! I am obsessed!!!,-,Not verified,-
Maya R.,"Nov 11, 2022",5.0/5,Like it a lot,Takes a few tries ti out it on properly But I love it. So natural yet so beneficial,-,Not verified,-
Kristin P.,"Nov 10, 2022",5.0/5,Customer for life,"Please make more products. I own every single thing you make, even the accessories. My relationship with beauty has changed since I started using your products. I love the quality of the products and the packaging is unbelievable.",-,Not verified,-
Alix D.,"Nov 5, 2022",2.0/5,Fades away completely after about 2 hours,"I give 2 stars for the colour and the consistency which are wonderful. However, it is so disappointing to have a beauty product that is made to last about 2 hours … I’ve tried several days and several ways before writing this review (Less moisturiser, more, setting powder, no setting powder, setting spray, etc.) and each time after all the various efforts made to keep this on, it fades away and disappears completely after a couple of hours.",-,Not verified,-
Miss65,"Nov 4, 2022",3.0/5,Not impressed,"I was really hoping this was going to be worth all the hype, but it's not what I expected and definitely not worth the price In my opinion.",-,Not verified,-
Karen S.,"Oct 20, 2022",5.0/5,Face trace,I use two colors - one to contour and deeper one to warm up the skin . Beautiful finish .,-,Not verified,-
ganjagirlsguide,"Oct 18, 2022",4.0/5,Great color for medium skin tone,[This review was collected as part of a promotion.] This was a fantastic color for a medium skin tone. The only issue I had with it is it’s meant more for skin that’s not oily at all. I’m sure this would be perfect for dry skin.,-,Not verified,-
Melissa H.,"Oct 15, 2022",2.0/5,Just ok,Blends in and disappears. Can’t tell I have anything on.,-,Not verified,-
Kristen P.,"Oct 10, 2022",5.0/5,Loved it so much I bought it again,Blends beautifully and looks completely natural. Gives my face subtle structure and builds easily for a more glam nighttime look.,-,Not verified,-
Leslie S.,"Oct 5, 2022",5.0/5,The only contour I can use,Face Trace in Biscuit is the only contour to use on my cool toned skin. Undetectable lifting effect. The zoom camera loves it.,-,Not verified,-
Theresa C.,"Oct 4, 2022",5.0/5,Love it!,So happy with this product. The color and texture are great. It’s very easy to apply especially with the recommended brush. I will definitely purchase this again.,-,Not verified,-
Amber E.,"Oct 3, 2022",5.0/5,The Best,Love this product! It is the perfect color for me and blends beautifully,-,Not verified,-
Lara S.,"Oct 3, 2022",4.0/5,Highlighter,I love all things Gucci but need more tutorials on how to use this one properly! Especially for people who don't have naturally high cheek bones please!,-,Not verified,-
obsessed with this,"Sept 27, 2022",5.0/5,westman atelier contour stick,This glides on and blends so easily - easiest contour I’ve ever applied,-,Not verified,-
angelab277,"Sept 25, 2022",5.0/5,I love it!,"[This review was collected as part of a promotion.] I like the smooth application and look of a cream. I draw a line along my cheek bones and on the sides of my forehead then blend them out with a flat brush and I’m left with naturally aspect, healthy looking skin. It’s quick to apply and it doesn’t smudge once blended out.",-,Not verified,https://photos-us.bazaarvoice.com/photo/2/cGhvdG86d2VzdG1hbmF0ZWxpZXI/a1fb03cc-a5ba-5040-85a1-6458c080dce8
Eliza K.,"Sept 21, 2022",5.0/5,LOVE!,"I have been using Face Trace in Biscuit to accentuate my cheek bone and it has been fantastic. My latest purchase was in the color Truffle and I use it to warm up my pale complexion, together with Baby Cheeks Blush in Mimi, and I am even more in love! Both are perfect in terms of color, texture and how they make my skin look, but I use Truffle several times a day now that it is fall in New York.",-,Not verified,-
Anne D.,"Sept 11, 2022",5.0/5,Easy to use,Gives a perfect warmth and dimension to your skin.,-,Not verified,-
look skinnier,"Sept 10, 2022",5.0/5,amazing contour stick!,This is totally worth the money! I think it’s lasted me 4 months too! Yay!,-,Not verified,-
Dawn R.,"Aug 28, 2022",5.0/5,Best contour,This is easy to apply and blend. It’s the only contour I’ve used that is the perfect color. I don’t think I’ll ever use anything else.,-,Not verified,-
Christensen,"Aug 25, 2022",1.0/5,Not that great.,"I had done extensive research before I purchased the biscuit contour stick. The color looks grey on my skin and sits in my pours. It does not melt like it was described and takes extensive blending to create the desired effect. For the price, I am not impressed and will not buy this product again.",-,Not verified,-
reyosunshine,"Aug 22, 2022",5.0/5,the best,Love westman products! It’s Skin care meets make up. Stays on doesn’t move feels and looks gorgeous on,-,Not verified,-
samanthasaysso,"Aug 6, 2022",5.0/5,Good formula,"[This review was collected as part of a promotion.] Unfortunately, I received the wrong color, but I was able to make it work! I love Westman Atelier, and the formulas are unbearable. Silky, long-wearing and super blendable.",-,Not verified,-
Deborah S.,"Aug 3, 2022",5.0/5,Best Blush Ever,"I am in love with MIMI! I thought Petal was amazing, but then I tried MIMI! These products are incredible!",-,Not verified,-
Lrdhlpusall,"July 31, 2022",5.0/5,Effortless blending,So smooth and creamy. Blended effortlessly with a medium blending brush. Perfect look that is 100% natural. Highly recommend.,-,Not verified,-
Chanpreet K.,"June 21, 2022",5.0/5,Nice texture for formula,I ordered foundation and concealer. The texture was great and high as well. Overall really in love with their products,-,Not verified,-
Stephanie S.,"June 21, 2022",5.0/5,Research always brings me back,"I purchased my 1st face trace over a year ago. Used it, loved it and finally decided it was time to choose another contour sticks. I researched and hunted and landed back on the fact that I love face trace, why try anything else. Perfect color, perfect consistency, lasts forever. Why mess with perfection.",-,Not verified,-
beautifulroze,"June 14, 2022",5.0/5,great product,[This review was collected as part of a promotion.] i originally thought this color would be too dark but it wound up being perfect. Went on smoothly and blended out perfectly. It is buildable.,-,Not verified,-
treesimsf8560aec7773,"June 14, 2022",5.0/5,oh my goodness,[This review was collected as part of a promotion.] I never used a cream contour stick and this blew me away it made me want to try more. the color seemed like it would be too dark don't let that scare you it looks so beautiful on.,-,Not verified,https://photos-us.bazaarvoice.com/photo/2/cGhvdG86d2VzdG1hbmF0ZWxpZXI/4c585fd0-cfba-5dfe-9d44-4e17ba87a393
abeersa,"June 12, 2022",5.0/5,Perfect,[This review was collected as part of a promotion.] Perfect for blending nicely on the skin. Enhances the contours and stays on for long. I live in a warm climate and am glad it does not melt and blends easily,-,Not verified,https://photos-us.bazaarvoice.com/photo/2/cGhvdG86d2VzdG1hbmF0ZWxpZXI/aeb26f5e-45de-5765-a9bc-c6a86d262ac9
ellewms,"June 12, 2022",4.0/5,Great little contour stick,"[This review was collected as part of a promotion.] Nicely pigmented yet the consistency makes it super easy to blend out. In fact, I was surprised by how quickly it blended given how rich the color was on my skin. Love the packaging with the magnetic top but given the flat top, it’s probably best to apply with a brush. Very limited color range, especially for darker complexions, which is why I docked a star.",-,Not verified,-
